"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","47n","~","Library:C_Disc_D8.0mm_W2.5mm_P5.00mm_kwadart","2",""
"J1,J9","A0","~","Library:PinSocket_1x03_P2.54mm_Vertical","2",""
"J2,J8","A1","~","Library:PinSocket_1x03_P2.54mm_Vertical","2",""
"J3,J7","A2","~","Library:PinSocket_1x03_P2.54mm_Vertical","2",""
"J4","SDA","~","Library:PinSocket_1x03_P2.54mm_Vertical","1",""
"J5","SCL","~","Library:PinSocket_1x03_P2.54mm_Vertical","1",""
"J6,J13","INT","~","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical,Library:PinSocket_1x03_P2.54mm_Vertical","2",""
"J10","V0","~","Library:PinSocket_1x03_P2.54mm_Vertical","1",""
"J11","Ext","~","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","1",""
"J12","I2C","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J14","U1","~","Library:PinSocket_1x03_P2.54mm_Vertical","1",""
"J15","U2","~","Library:PinSocket_1x08_P2.54mm_Vertical_kwadrat","1",""
"J16","U3","~","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J17","RS","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"J18","K","~","Library:PinSocket_1x01_P2.54mm_Vertical_kwadart","1",""
"J19","A","~","Library:PinSocket_1x01_P2.54mm_Vertical_kwadart","1",""
"J20","VDD","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"J21","GND","~","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"J23","VSS","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"J24","Conn_01x16_Pin","~","Library:PinSocket_1x16_P2.54mm_Vertical_kwadrat","1",""
"J25","LCD","~","Library:PinSocket_1x16_P2.54mm_Vertical_kwadrat","1",""
"J26","VCC","~","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"R1,R4,R5,RV1","10k","~","Library:Potentiometer_ACP_CA9-H5_Horizontal_kwadrat,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_square","4",""
"R2,R3","4.7k","~","Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_square","2",""
"U1,U2","PCF8574","http://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf","Library:DIP-16_W7.62mm_Socket_LongPads_lezki","2",""
